IMD_Score,patient_count,pct_of_patients,cumulative_patients,cumulative_pct
13428,1,0.0,602630,55.64
13429,1,0.0,602631,55.64
13431,2,0.0,602633,55.64
13448,2,0.0,602635,55.64
13449,2,0.0,602637,55.64
13457,1,0.0,602638,55.64
13459,1,0.0,602639,55.64
13491,5,0.0,602644,55.64
13494,1,0.0,602645,55.64
13496,1,0.0,602646,55.64
13516,1,0.0,602647,55.64
13525,1,0.0,602648,55.64
13534,1595,0.15,604243,55.79
13539,711,0.07,604954,55.85
13554,193,0.02,605147,55.87
13557,875,0.08,606022,55.95
13571,1,0.0,606023,55.95
13575,174,0.02,606197,55.97
13591,2,0.0,606199,55.97
13593,2,0.0,606201,55.97
13614,1,0.0,606202,55.97
13615,2,0.0,606204,55.97
13616,635,0.06,606839,56.03
13625,2,0.0,606841,56.03
13643,39,0.0,606880,56.03
13644,404,0.04,607284,56.07
13645,341,0.03,607625,56.1
13658,654,0.06,608279,56.16
13659,1,0.0,608280,56.16
13672,1,0.0,608281,56.16
13681,1,0.0,608282,56.16
13685,4,0.0,608286,56.16
13689,534,0.05,608820,56.21
13702,583,0.05,609403,56.26
13705,1,0.0,609404,56.26
13711,726,0.07,610130,56.33
13736,1,0.0,610131,56.33
13737,655,0.06,610786,56.39
13747,3,0.0,610789,56.39
13758,1,0.0,610790,56.39
13759,17,0.0,610807,56.39
13760,354,0.03,611161,56.43
13762,758,0.07,611919,56.5
13810,499,0.05,612418,56.54
13828,1,0.0,612419,56.54
13829,594,0.05,613013,56.6
13837,1,0.0,613014,56.6
13842,7,0.0,613021,56.6
13848,2,0.0,613023,56.6
13858,1,0.0,613024,56.6
13862,2,0.0,613026,56.6
13867,1,0.0,613027,56.6
13871,8,0.0,613035,56.6
13884,2,0.0,613037,56.6
13886,2,0.0,613039,56.6
13887,2,0.0,613041,56.6
13894,1,0.0,613042,56.6
13905,691,0.06,613733,56.66
13906,1,0.0,613734,56.66
13912,567,0.05,614301,56.72
13924,2,0.0,614303,56.72
13935,2,0.0,614305,56.72
13936,1,0.0,614306,56.72
13956,1,0.0,614307,56.72
13957,1,0.0,614308,56.72
13969,729,0.07,615037,56.78
13973,673,0.06,615710,56.85
13978,609,0.06,616319,56.9
13986,2,0.0,616321,56.9
14006,1,0.0,616322,56.9
14008,1,0.0,616323,56.9
14023,1,0.0,616324,56.9
14028,518,0.05,616842,56.95
14035,2,0.0,616844,56.95
14066,1,0.0,616845,56.95
14090,508,0.05,617353,57.0
14096,1,0.0,617354,57.0
14097,1,0.0,617355,57.0
14110,365,0.03,617720,57.03
14112,3,0.0,617723,57.03
14125,2,0.0,617725,57.03
14127,1,0.0,617726,57.03
14139,4,0.0,617730,57.03
14157,13,0.0,617743,57.03
14161,1,0.0,617744,57.03
14162,1,0.0,617745,57.03
14163,609,0.06,618354,57.09
14169,647,0.06,619001,57.15
14177,1,0.0,619002,57.15
14182,1,0.0,619003,57.15
14187,807,0.07,619810,57.22
14192,1,0.0,619811,57.22
14198,2,0.0,619813,57.22
14211,551,0.05,620364,57.28
14213,1,0.0,620365,57.28
14216,1,0.0,620366,57.28
14222,2,0.0,620368,57.28
14240,1,0.0,620369,57.28
14244,542,0.05,620911,57.33
14247,1,0.0,620912,57.33
14251,2,0.0,620914,57.33
14263,1,0.0,620915,57.33
14267,3,0.0,620918,57.33
14307,522,0.05,621440,57.38
14313,735,0.07,622175,57.44
14337,1,0.0,622176,57.44
14351,1,0.0,622177,57.44
14354,541,0.05,622718,57.49
14356,1,0.0,622719,57.49
14361,425,0.04,623144,57.53
14376,434,0.04,623578,57.57
14377,1,0.0,623579,57.57
14391,2,0.0,623581,57.57
14404,631,0.06,624212,57.63
14406,490,0.05,624702,57.68
14413,923,0.09,625625,57.76
14421,6,0.0,625631,57.76
14423,3,0.0,625634,57.76
14433,1,0.0,625635,57.76
14455,1,0.0,625636,57.76
14456,1,0.0,625637,57.76
14462,585,0.05,626222,57.82
14464,17,0.0,626239,57.82
14466,3,0.0,626242,57.82
14478,544,0.05,626786,57.87
14483,2,0.0,626788,57.87
14528,3,0.0,626791,57.87
14535,1,0.0,626792,57.87
14574,1,0.0,626793,57.87
14581,1,0.0,626794,57.87
14600,1,0.0,626795,57.87
14618,2,0.0,626797,57.87
14619,2,0.0,626799,57.87
14621,649,0.06,627448,57.93
14622,2,0.0,627450,57.93
14626,1,0.0,627451,57.93
14631,706,0.07,628157,58.0
14634,543,0.05,628700,58.05
14637,1,0.0,628701,58.05
14643,936,0.09,629637,58.13
14664,1156,0.11,630793,58.24
14674,1,0.0,630794,58.24
14679,2,0.0,630796,58.24
14698,9,0.0,630805,58.24
14699,231,0.02,631036,58.26
14709,842,0.08,631878,58.34
14719,3,0.0,631881,58.34
14758,6,0.0,631887,58.34
14760,3,0.0,631890,58.34
14769,709,0.07,632599,58.41
14785,5,0.0,632604,58.41
14797,1,0.0,632605,58.41
14802,1208,0.11,633813,58.52
14818,1,0.0,633814,58.52
14832,1,0.0,633815,58.52
14835,1,0.0,633816,58.52
14838,544,0.05,634360,58.57
14841,1,0.0,634361,58.57
14853,2,0.0,634363,58.57
14862,1,0.0,634364,58.57
14863,1,0.0,634365,58.57
14876,1,0.0,634366,58.57
14883,971,0.09,635337,58.66
14894,784,0.07,636121,58.73
14896,1,0.0,636122,58.73
14901,1,0.0,636123,58.73
14906,1,0.0,636124,58.73
14923,2,0.0,636126,58.73
14925,1,0.0,636127,58.73
14945,5,0.0,636132,58.73
14951,2,0.0,636134,58.73
14962,673,0.06,636807,58.79
14972,1,0.0,636808,58.79
14973,1,0.0,636809,58.79
14975,1,0.0,636810,58.79
14979,1,0.0,636811,58.79
14981,4,0.0,636815,58.79
15002,996,0.09,637811,58.89
15012,508,0.05,638319,58.93
15034,918,0.08,639237,59.02
15052,1,0.0,639238,59.02
15053,550,0.05,639788,59.07
15055,441,0.04,640229,59.11
15057,1017,0.09,641246,59.2
15060,2,0.0,641248,59.2
15061,975,0.09,642223,59.29
15076,1,0.0,642224,59.29
15079,758,0.07,642982,59.36
15090,1,0.0,642983,59.36
15095,6,0.0,642989,59.36
15096,1,0.0,642990,59.36
15115,1,0.0,642991,59.36
15116,962,0.09,643953,59.45
15118,591,0.05,644544,59.51
15121,1,0.0,644545,59.51
15123,716,0.07,645261,59.57
15131,891,0.08,646152,59.66
15142,1,0.0,646153,59.66
15147,3,0.0,646156,59.66
15172,1,0.0,646157,59.66
15193,1392,0.13,647549,59.79
15195,1,0.0,647550,59.79
15196,463,0.04,648013,59.83
15219,1,0.0,648014,59.83
15221,1,0.0,648015,59.83
15227,1,0.0,648016,59.83
15230,330,0.03,648346,59.86
15251,867,0.08,649213,59.94
15257,7,0.0,649220,59.94
15267,2,0.0,649222,59.94
15272,1,0.0,649223,59.94
15282,701,0.06,649924,60.0
15317,1,0.0,649925,60.01
15330,2,0.0,649927,60.01
15375,1,0.0,649928,60.01
15376,1,0.0,649929,60.01
15387,478,0.04,650407,60.05
15390,2,0.0,650409,60.05
15396,2,0.0,650411,60.05
15409,719,0.07,651130,60.12
15459,1,0.0,651131,60.12
15461,649,0.06,651780,60.18
15474,2,0.0,651782,60.18
15478,21,0.0,651803,60.18
15490,1,0.0,651804,60.18
15494,5,0.0,651809,60.18
15500,2,0.0,651811,60.18
15501,886,0.08,652697,60.26
15525,1,0.0,652698,60.26
15557,1,0.0,652699,60.26
15558,1,0.0,652700,60.26
15559,2,0.0,652702,60.26
15562,547,0.05,653249,60.31
15564,1,0.0,653250,60.31
15591,1,0.0,653251,60.31
15598,425,0.04,653676,60.35
15600,788,0.07,654464,60.42
15604,2,0.0,654466,60.42
15608,926,0.09,655392,60.51
15646,1,0.0,655393,60.51
15662,8,0.0,655401,60.51
15676,1,0.0,655402,60.51
15696,3,0.0,655405,60.51
15710,507,0.05,655912,60.56
15734,1,0.0,655913,60.56
15767,22,0.0,655935,60.56
15779,1,0.0,655936,60.56
15789,1000,0.09,656936,60.65
