event_count,patient_count,cumulative_patients,cumulative_pct
2391,15,179336,90.76
2392,14,179350,90.76
2393,15,179365,90.77
2394,14,179379,90.78
2395,12,179391,90.78
2396,8,179399,90.79
2397,19,179418,90.8
2398,17,179435,90.81
2399,10,179445,90.81
2400,21,179466,90.82
2401,21,179487,90.83
2402,19,179506,90.84
2403,19,179525,90.85
2404,28,179553,90.87
2405,19,179572,90.88
2406,20,179592,90.89
2407,18,179610,90.9
2408,14,179624,90.9
2409,20,179644,90.91
2410,17,179661,90.92
2411,13,179674,90.93
2412,20,179694,90.94
2413,13,179707,90.94
2414,23,179730,90.96
2415,13,179743,90.96
2416,18,179761,90.97
2417,26,179787,90.98
2418,16,179803,90.99
2419,19,179822,91.0
2420,20,179842,91.01
2421,20,179862,91.02
2422,16,179878,91.03
2423,13,179891,91.04
2424,19,179910,91.05
2425,16,179926,91.06
2426,22,179948,91.07
2427,19,179967,91.08
2428,17,179984,91.08
2429,19,180003,91.09
2430,21,180024,91.1
2431,14,180038,91.11
2432,16,180054,91.12
2433,15,180069,91.13
2434,14,180083,91.13
2435,12,180095,91.14
2436,23,180118,91.15
2437,13,180131,91.16
2438,28,180159,91.17
2439,15,180174,91.18
2440,17,180191,91.19
2441,17,180208,91.2
2442,27,180235,91.21
2443,22,180257,91.22
2444,14,180271,91.23
